SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,f1,f2,g
0.38,0.041,0.83,208,18,171,150,295,249,136,1.62E-05,1.30E-05,0.219,0.138,0.081
0.17,0.025,0.95,62,40,191,45,238,232,102,2.31E-06,7.00E-06,0.486,0.137,0.349
0.12,0.011,0.75,547,49,119,53,112,234,49,1.90E-05,1.10E-05,0.603,0.253,0.35
0.13,0.034,0.99,331,92,116,182,196,238,87,2.26E-05,1.60E-05,0.242,0.169,0.073
0.24,0.09,0.71,748,35,179,142,209,247,96,1.76E-05,1.80E-05,0.265,0.202,0.063
0.32,0.078,0.76,152,97,194,191,163,272,82,8.16E-06,6.00E-06,0.222,0.266,-0.044
0.18,0.027,0.81,604,69,210,151,220,256,105,4.70E-06,1.00E-05,0.189,0.268,-0.079
0.18,0.083,0.74,955,88,210,65,123,208,48,1.89E-05,1.50E-05,0.518,0.237,0.281
0.37,0.057,0.83,380,24,159,91,149,211,59,2.92E-05,1.80E-05,0.329,0.192,0.137
0.3,0.076,0.74,760,49,149,183,201,236,89,1.06E-05,1.40E-05,0.151,0.253,-0.102
0.14,0.079,0.86,129,68,131,177,257,237,114,4.02E-06,6.00E-06,0.153,0.202,-0.049
0.31,0.055,0.77,629,13,213,64,140,255,67,1.58E-05,1.60E-05,0.551,0.256,0.295
0.39,0.074,0.98,440,71,159,56,270,296,150,7.26E-06,6.00E-06,0.682,0.157,0.525
0.32,0.036,0.86,975,40,137,151,147,200,55,5.25E-06,7.00E-06,0.159,0.269,-0.11
0.2,0.082,0.88,180,96,197,174,231,244,106,9.90E-06,1.50E-05,0.15,0.232,-0.082
0.38,0.082,0.81,551,79,133,85,267,260,131,2.08E-06,8.00E-06,0.44,0.228,0.212
0.24,0.064,0.74,189,82,178,165,106,283,57,5.16E-06,1.20E-05,0.202,0.422,-0.22
0.15,0.099,0.8,437,13,191,181,214,262,107,1.30E-05,1.60E-05,0.222,0.193,0.029
0.13,0.097,0.89,531,68,153,67,235,268,120,1.07E-05,9.00E-06,0.65,0.171,0.479
0.37,0.048,0.76,94,83,177,156,134,259,66,3.40E-06,1.00E-05,0.103,0.42,-0.317
0.37,0.022,0.78,354,89,198,124,180,299,102,1.35E-05,1.10E-05,0.312,0.26,0.052
0.32,0.071,0.99,592,76,179,115,212,269,109,4.85E-06,5.00E-06,0.337,0.232,0.105
0.27,0.034,0.9,73,63,117,163,244,225,105,1.44E-05,1.50E-05,0.169,0.2,-0.031
0.2,0.02,0.93,126,51,194,132,101,244,47,3.58E-05,1.80E-05,0.264,0.3,-0.036
0.29,0.085,0.79,256,66,146,21,102,284,55,3.35E-05,1.70E-05,0.937,0.209,0.728
0.38,0.068,0.77,787,67,220,41,139,210,56,8.40E-06,5.00E-06,0.673,0.205,0.468
0.24,0.016,0.9,184,56,167,88,285,269,147,1.36E-05,1.00E-05,0.43,0.146,0.284
0.31,0.011,0.84,75,26,124,74,153,242,71,1.96E-05,1.20E-05,0.416,0.217,0.199
0.3,0.088,0.99,496,35,218,173,293,248,140,9.00E-06,6.00E-06,0.251,0.013,0.238
0.13,0.041,0.81,779,91,208,38,282,209,113,2.16E-05,1.20E-05,0.786,0.1,0.686
0.33,0.051,0.77,64,4,125,43,214,220,90,2.80E-06,4.00E-06,0.844,0.146,0.698
0.24,0.085,0.81,318,15,138,173,280,290,157,6.90E-06,5.00E-06,0.289,0.115,0.174
0.36,0.045,0.94,978,28,220,54,139,292,78,3.93E-06,3.00E-06,0.704,0.251,0.453
0.38,0.073,0.92,266,40,177,110,128,257,64,2.11E-05,1.70E-05,0.302,0.295,0.007
0.36,0.091,0.95,486,82,137,28,243,237,111,2.55E-05,1.50E-05,0.909,0.126,0.783
0.12,0.063,0.87,575,41,140,121,258,262,131,1.37E-05,1.00E-05,0.39,0.138,0.252
0.14,0.071,0.99,546,47,150,148,257,210,104,5.55E-06,3.00E-06,0.337,0.078,0.259
0.39,0.023,0.88,544,81,222,165,291,272,153,3.36E-05,1.90E-05,0.244,0.136,0.108
0.3,0.054,0.72,489,3,130,76,219,235,100,8.36E-06,1.90E-05,0.501,0.146,0.355
0.38,0.057,0.81,316,12,118,168,248,276,133,1.04E-05,1.10E-05,0.206,0.16,0.046
0.27,0.095,0.95,65,56,139,23,293,272,155,1.52E-06,4.00E-06,0.691,0.071,0.62
0.18,0.019,0.82,762,90,217,65,191,294,109,2.82E-05,2.00E-05,0.624,0.202,0.422
0.25,0.047,0.95,676,32,206,135,188,283,103,2.16E-05,1.20E-05,0.334,0.147,0.187
0.16,0.072,0.81,543,74,191,148,205,248,99,1.07E-05,1.60E-05,0.24,0.239,0.001
0.13,0.061,0.86,208,82,163,152,275,214,115,3.92E-06,4.00E-06,0.226,0.137,0.089
0.22,0.028,0.94,151,51,177,88,202,261,103,4.60E-06,1.00E-05,0.353,0.241,0.112
0.14,0.01,0.94,476,95,153,33,177,212,73,1.38E-05,1.00E-05,0.835,0.158,0.677
0.21,0.078,0.79,420,59,131,170,162,203,64,4.93E-06,1.70E-05,0.063,0.329,-0.266
0.16,0.097,0.89,681,41,160,181,236,245,113,1.12E-05,1.60E-05,0.194,0.211,-0.017
0.39,0.081,0.92,783,66,131,99,149,271,79,2.54E-06,2.00E-06,0.39,0.276,0.114
0.23,0.096,0.73,697,69,190,185,235,261,121,2.90E-06,1.00E-05,0.089,0.303,-0.214
0.24,0.092,0.99,771,22,213,72,175,215,74,1.32E-06,4.00E-06,0.7,0.234,0.466
0.24,0.044,0.99,843,24,188,176,288,245,140,5.60E-06,1.40E-05,0.064,0.229,-0.165
0.34,0.024,0.74,736,42,221,105,209,244,101,1.06E-05,7.00E-06,0.33,0.168,0.162
0.3,0.014,0.71,36,37,194,197,266,274,144,2.45E-05,1.80E-05,0.201,0.197,0.004
0.35,0.099,0.99,945,33,165,164,247,281,137,9.90E-06,9.00E-06,0.251,0.171,0.08
0.25,0.028,0.81,405,67,164,63,174,254,88,1.92E-05,1.30E-05,0.542,0.204,0.338
0.27,0.042,0.84,733,47,178,36,154,235,72,2.96E-05,1.70E-05,0.797,0.203,0.594
0.29,0.085,0.82,858,9,134,109,158,226,71,9.84E-06,8.00E-06,0.324,0.194,0.13
0.26,0.022,0.91,314,8,213,127,130,243,63,6.36E-06,4.00E-06,0.252,0.192,0.06
0.12,0.044,0.85,888,6,175,92,210,292,122,7.52E-06,4.00E-06,0.474,0.118,0.356
0.15,0.05,0.85,69,8,120,194,218,242,106,2.94E-05,1.70E-05,0.254,0.084,0.17
0.19,0.08,0.99,532,6,186,130,212,273,116,6.00E-06,4.00E-06,0.315,0.145,0.17
0.11,0.014,0.93,133,85,125,26,232,272,127,2.81E-05,1.90E-05,0.767,0.093,0.674
0.14,0.06,0.79,679,41,192,68,158,267,85,5.44E-06,4.00E-06,0.596,0.231,0.365
0.35,0.092,0.86,461,83,207,56,184,258,95,2.77E-05,1.60E-05,0.58,0.184,0.396
0.19,0.062,0.73,753,74,129,151,136,231,64,8.54E-06,1.40E-05,0.226,0.332,-0.106
