SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,f1,f2,g
0.11,0.095,0.95,223,94,143,118,245,297,189,5.70E-06,1.50E-05,0.356,0.203,0.153
0.13,0.062,0.8,567,4,191,104,112,299,164,9.72E-06,1.80E-05,0.422,0.227,0.195
0.31,0.028,0.97,942,95,201,93,131,212,170,1.75E-05,1.90E-05,0.318,0.217,0.101
0.19,0.029,0.93,571,13,122,147,224,204,186,3.48E-06,6.00E-06,0.246,0.181,0.065
0.18,0.079,0.75,554,39,222,20,265,281,178,2.03E-05,1.90E-05,0.772,0.083,0.689
0.18,0.031,0.76,830,11,157,134,130,258,153,1.72E-05,1.50E-05,0.281,0.24,0.041
0.13,0.058,0.75,668,40,146,165,233,270,169,2.24E-06,8.00E-06,0.261,0.233,0.028
0.32,0.031,0.96,224,30,141,186,163,256,156,4.32E-06,9.00E-06,0.157,0.277,-0.12
0.25,0.036,0.82,459,10,215,143,230,264,180,8.73E-06,9.00E-06,0.314,0.15,0.164
0.15,0.03,0.94,868,11,165,100,283,227,162,2.21E-05,1.60E-05,0.39,0.105,0.285
0.36,0.063,0.85,967,44,178,174,101,275,176,5.10E-06,5.00E-06,0.198,0.349,-0.151
0.23,0.024,0.89,976,47,136,197,134,250,165,5.04E-06,1.80E-05,0.137,0.375,-0.238
0.12,0.1,0.95,29,38,201,193,171,272,186,2.24E-05,1.40E-05,0.242,0.175,0.067
0.31,0.06,0.74,624,54,175,183,115,254,169,1.73E-05,1.10E-05,0.194,0.273,-0.079
0.19,0.038,0.9,828,23,210,70,262,275,184,1.26E-05,1.30E-05,0.564,0.126,0.438
0.3,0.041,0.83,260,52,206,26,114,232,164,5.82E-06,6.00E-06,0.733,0.242,0.491
0.27,0.045,0.76,804,74,128,169,219,253,159,8.80E-07,2.00E-06,0.313,0.201,0.112
0.17,0.02,0.91,638,60,168,79,173,278,173,1.07E-05,1.30E-05,0.408,0.211,0.197
0.25,0.072,0.82,526,37,144,150,130,294,174,2.60E-05,1.40E-05,0.322,0.222,0.1
0.22,0.084,0.95,267,29,188,72,290,291,185,2.00E-06,2.00E-06,0.586,0.159,0.427
0.2,0.017,0.88,960,57,192,175,183,245,193,4.41E-06,7.00E-06,0.189,0.256,-0.067
0.11,0.09,0.76,373,76,219,52,296,271,186,2.16E-06,8.00E-06,0.711,0.144,0.567
0.15,0.022,0.92,581,78,128,75,199,223,182,2.26E-05,1.20E-05,0.527,0.157,0.37
0.12,0.074,0.71,755,15,224,121,218,256,179,1.65E-05,1.30E-05,0.346,0.141,0.205
0.38,0.062,0.86,859,80,123,187,265,244,169,2.88E-05,1.60E-05,0.237,0.15,0.087
0.18,0.043,0.85,365,93,173,33,252,275,185,1.56E-05,1.10E-05,0.727,0.128,0.599
0.27,0.097,0.93,790,98,157,106,248,270,190,9.99E-06,9.00E-06,0.377,0.158,0.219
0.16,0.074,0.85,305,72,150,194,254,240,153,9.66E-06,6.00E-06,0.205,0.165,0.04
0.21,0.075,0.95,645,63,166,83,102,253,162,9.45E-06,1.50E-05,0.404,0.267,0.137
0.27,0.079,0.7,830,93,217,33,223,257,185,1.04E-06,4.00E-06,0.812,0.155,0.657
0.38,0.028,0.75,176,74,170,117,185,300,155,3.80E-06,5.00E-06,0.333,0.23,0.103
0.38,0.086,0.89,52,72,218,66,113,273,177,4.20E-06,5.00E-06,0.499,0.252,0.247
0.17,0.051,0.78,447,42,168,58,201,284,182,8.70E-06,5.00E-06,0.635,0.174,0.461
0.28,0.033,0.88,362,14,203,127,249,230,177,1.04E-05,9.00E-06,0.274,0.157,0.117
0.14,0.046,0.96,207,73,123,139,127,269,164,1.98E-05,1.50E-05,0.302,0.236,0.066
0.31,0.041,0.79,364,26,196,168,102,201,173,1.97E-05,1.00E-05,0.18,0.21,-0.03
0.18,0.089,0.84,635,73,225,63,272,279,182,3.28E-05,1.80E-05,0.603,0.119,0.484
0.12,0.042,0.72,391,53,121,111,207,295,157,1.36E-05,1.30E-05,0.405,0.163,0.242
0.13,0.051,0.92,441,89,185,143,251,284,191,3.04E-06,8.00E-06,0.356,0.215,0.141
0.15,0.011,0.96,123,59,170,37,271,287,193,1.16E-05,6.00E-06,0.729,0.069,0.66
0.22,0.03,0.71,253,84,157,162,261,291,185,6.24E-06,6.00E-06,0.267,0.19,0.077
0.12,0.069,0.75,568,23,173,91,158,247,168,6.48E-06,4.00E-06,0.416,0.214,0.202
0.39,0.061,0.99,553,8,182,199,285,250,195,1.69E-05,9.00E-06,0.256,0.081,0.175
0.31,0.051,0.93,940,7,219,32,219,202,180,8.82E-06,1.80E-05,0.611,0.097,0.514
0.22,0.078,0.99,923,8,147,191,123,231,198,9.23E-06,1.30E-05,0.218,0.231,-0.013
0.21,0.082,0.97,995,98,205,29,221,202,177,2.60E-06,2.00E-06,0.656,0.1,0.556
0.38,0.043,0.93,258,53,129,117,253,299,197,1.71E-05,1.10E-05,0.371,0.128,0.243
0.17,0.032,0.97,461,50,144,59,110,208,175,1.00E-05,1.00E-05,0.548,0.216,0.332
0.12,0.075,0.99,945,57,162,126,165,258,173,2.43E-05,1.90E-05,0.385,0.186,0.199
0.24,0.076,0.74,135,46,180,19,106,300,193,1.05E-05,8.00E-06,0.771,0.216,0.555
0.11,0.096,0.84,389,71,210,34,122,255,195,3.30E-06,1.10E-05,0.759,0.315,0.444
0.27,0.08,0.92,308,3,162,26,236,232,180,8.45E-06,1.30E-05,0.7,0.123,0.577
0.28,0.068,0.93,306,68,164,140,235,292,194,2.36E-06,2.00E-06,0.313,0.189,0.124
0.3,0.079,0.98,269,77,177,36,238,251,159,1.25E-05,1.00E-05,0.739,0.154,0.585
0.22,0.082,0.82,623,97,158,198,125,276,165,1.11E-05,1.40E-05,0.189,0.296,-0.107
0.4,0.026,0.97,797,11,222,176,215,246,172,9.60E-06,8.00E-06,0.189,0.169,0.02
0.17,0.036,0.76,339,11,144,120,151,228,191,9.54E-06,9.00E-06,0.319,0.229,0.09
0.28,0.032,0.79,924,36,143,100,282,200,198,6.08E-06,8.00E-06,0.314,0.167,0.147
0.21,0.042,0.96,484,53,184,121,110,216,172,1.65E-05,9.00E-06,0.343,0.209,0.134
0.33,0.041,0.89,528,16,142,64,295,260,171,2.79E-05,1.80E-05,0.649,0.119,0.53
0.34,0.06,0.9,71,9,222,117,178,234,172,6.15E-06,1.50E-05,0.227,0.197,0.03
0.37,0.077,0.96,865,94,138,118,254,221,176,1.38E-05,7.00E-06,0.332,0.129,0.203
0.36,0.092,0.71,465,38,176,75,272,218,194,2.19E-05,1.50E-05,0.49,0.114,0.376
0.12,0.034,0.85,318,37,195,67,142,247,152,1.46E-05,1.10E-05,0.575,0.234,0.341
0.39,0.092,0.78,933,63,154,187,198,298,163,9.66E-06,1.40E-05,0.219,0.233,-0.014
0.3,0.08,0.74,706,15,201,16,182,287,191,2.53E-05,1.90E-05,0.829,0.111,0.718
0.12,0.012,0.78,426,49,129,136,205,249,184,1.90E-05,1.40E-05,0.306,0.157,0.149
0.27,0.051,0.74,725,57,155,149,256,207,170,2.41E-05,1.90E-05,0.283,0.123,0.16
0.19,0.069,0.74,314,8,145,136,271,275,172,9.36E-06,9.00E-06,0.318,0.107,0.211
0.19,0.057,0.83,377,81,205,27,273,251,175,1.67E-05,1.70E-05,0.717,0.084,0.633
0.33,0.046,0.83,534,43,122,42,229,204,197,3.08E-06,4.00E-06,0.722,0.16,0.562
0.32,0.078,0.84,734,93,158,198,210,237,167,3.30E-06,1.00E-05,0.118,0.262,-0.144
0.14,0.032,0.75,225,66,115,29,136,234,175,2.27E-05,1.40E-05,0.705,0.203,0.502
0.26,0.037,0.98,651,92,156,117,147,286,190,6.63E-06,1.70E-05,0.395,0.288,0.107
0.2,0.02,0.91,556,38,154,150,254,230,192,1.04E-05,1.40E-05,0.201,0.173,0.028
0.34,0.025,0.93,989,17,200,114,221,218,172,3.19E-05,1.80E-05,0.324,0.128,0.196
0.33,0.034,0.9,359,94,171,187,187,233,178,5.32E-06,1.40E-05,0.123,0.27,-0.147
0.29,0.055,0.97,921,3,129,172,124,244,190,7.56E-06,9.00E-06,0.266,0.214,0.052
0.37,0.016,0.81,100,29,123,17,219,266,153,9.36E-06,6.00E-06,0.725,0.117,0.608
0.35,0.096,0.97,567,44,150,73,204,214,191,6.54E-06,6.00E-06,0.478,0.185,0.293
0.39,0.025,0.95,986,17,189,104,299,202,189,2.01E-05,1.50E-05,0.28,0.107,0.173
0.22,0.051,1,289,69,179,77,167,249,165,1.32E-06,3.00E-06,0.643,0.245,0.398
0.19,0.015,0.84,133,36,212,198,183,287,174,5.94E-06,3.00E-06,0.202,0.183,0.019
0.32,0.091,0.7,521,48,213,105,226,236,156,6.40E-06,1.60E-05,0.315,0.215,0.1
0.21,0.085,0.93,777,62,192,198,174,284,159,2.48E-05,1.70E-05,0.266,0.18,0.086
0.35,0.093,0.75,889,87,211,26,134,237,189,1.14E-05,1.00E-05,0.687,0.225,0.462
0.24,0.097,0.73,449,31,206,34,231,293,168,2.16E-06,8.00E-06,0.774,0.193,0.581
0.25,0.085,0.77,799,5,120,122,182,264,162,1.53E-05,1.80E-05,0.335,0.159,0.176
0.14,0.045,0.9,797,20,123,152,119,224,161,2.55E-05,1.70E-05,0.28,0.216,0.064
0.22,0.066,0.94,91,97,188,109,226,229,163,1.05E-06,3.00E-06,0.327,0.195,0.132
0.18,0.075,0.84,450,89,133,60,141,235,152,4.55E-06,7.00E-06,0.595,0.28,0.315
0.17,0.081,0.97,608,68,192,95,113,244,198,1.16E-05,9.00E-06,0.371,0.261,0.11
0.25,0.014,0.7,129,74,146,179,189,243,188,5.40E-07,2.00E-06,0.22,0.23,-0.01
0.38,0.083,0.86,745,72,140,67,140,295,182,1.20E-05,1.50E-05,0.563,0.252,0.311
0.21,0.02,0.96,449,25,162,35,276,293,151,2.86E-05,1.60E-05,0.781,0.09,0.691
0.23,0.028,0.85,169,35,122,50,121,268,192,2.02E-05,1.40E-05,0.609,0.231,0.378
0.1,0.022,0.78,420,33,116,41,259,211,177,6.90E-06,6.00E-06,0.707,0.093,0.614
0.19,0.095,0.92,561,51,217,146,288,239,169,5.32E-06,7.00E-06,0.252,0.164,0.088
0.35,0.036,0.87,297,38,219,161,166,216,176,1.12E-05,1.00E-05,0.175,0.216,-0.041
0.26,0.023,0.95,618,71,206,133,234,281,170,1.19E-05,1.20E-05,0.308,0.185,0.123
0.26,0.091,0.96,146,23,185,154,247,217,181,5.50E-06,1.00E-05,0.182,0.187,-0.005
0.39,0.043,0.79,445,78,188,133,111,279,199,3.04E-05,1.70E-05,0.323,0.24,0.083
0.12,0.015,0.78,348,28,189,185,121,265,161,7.56E-06,1.40E-05,0.214,0.29,-0.076
0.33,0.018,0.78,774,77,136,146,178,209,186,1.11E-05,1.70E-05,0.27,0.196,0.074
0.17,0.097,0.96,396,73,135,122,131,235,150,5.28E-06,8.00E-06,0.315,0.32,-0.005
0.14,0.095,0.74,992,62,190,169,267,278,183,1.52E-05,8.00E-06,0.326,0.151,0.175
0.26,0.082,0.78,344,85,176,36,255,210,197,1.86E-06,2.00E-06,0.719,0.128,0.591
0.13,0.07,0.73,164,16,203,26,170,289,200,2.72E-05,1.70E-05,0.759,0.109,0.65
0.15,0.051,0.87,784,49,186,139,258,232,175,1.20E-06,3.00E-06,0.336,0.171,0.165
0.18,0.056,0.99,553,80,128,44,266,293,165,2.48E-05,1.40E-05,0.793,0.12,0.673
0.4,0.093,0.73,286,81,118,187,164,286,184,1.58E-05,8.00E-06,0.27,0.233,0.037
0.14,0.083,0.91,193,15,179,124,219,294,180,1.53E-05,1.30E-05,0.373,0.16,0.213
0.36,0.051,0.72,711,65,212,44,202,261,183,4.48E-06,7.00E-06,0.748,0.212,0.536
0.28,0.078,0.95,629,44,167,48,110,235,163,5.20E-06,2.00E-05,0.652,0.319,0.333
0.36,0.076,0.77,435,89,191,135,201,275,178,2.76E-05,1.90E-05,0.301,0.176,0.125
0.19,0.04,0.95,944,79,139,174,176,299,157,3.44E-05,1.80E-05,0.304,0.163,0.141
