SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,SD,f1,f2,g
0.34,0.043,0.82,56,70,131,108,175,374,194,1.03E-05,4.00E-06,14,0.726,0.324,0.402
0.23,0.052,0.81,814,97,137,127,117,295,162,5.60E-06,1.00E-05,29,0.725,0.282,0.443
0.29,0.044,0.84,164,56,119,127,132,384,173,9.59E-06,7.00E-06,25,0.718,0.331,0.387
0.35,0.092,0.83,769,29,151,166,128,310,196,9.20E-06,1.00E-05,17,0.717,0.265,0.452
0.32,0.018,0.88,73,74,122,116,145,265,191,1.64E-06,4.00E-06,28,0.716,0.291,0.425
0.14,0.059,0.84,217,42,175,195,114,363,175,2.34E-06,3.00E-06,12,0.71,0.26,0.45
0.29,0.085,0.91,783,4,222,151,163,255,164,3.80E-07,1.00E-06,16,0.71,0.309,0.401
0.11,0.018,0.94,857,96,178,167,157,345,191,3.60E-06,9.00E-06,11,0.705,0.264,0.441
0.22,0.09,0.97,83,78,214,151,194,342,191,1.10E-05,7.00E-06,24,0.705,0.26,0.445
0.24,0.041,0.84,265,90,163,112,182,280,190,9.36E-06,9.00E-06,26,0.689,0.244,0.445
0.28,0.032,0.81,420,37,150,101,197,323,181,1.03E-05,5.00E-06,23,0.687,0.262,0.425
0.1,0.078,1,250,2.31,115,100,140,300,150,5.00E-06,5.00E-06,10,0.686,0.262,0.424
0.39,0.086,0.88,136,24,122,113,198,386,162,7.72E-06,4.00E-06,19,0.686,0.262,0.424
0.35,0.081,0.99,278,4,149,132,191,398,156,1.23E-05,5.00E-06,21,0.686,0.262,0.424
0.19,0.039,0.97,865,13,141,165,153,376,150,5.84E-06,4.00E-06,14,0.686,0.262,0.424
0.31,0.018,0.92,891,85,209,197,148,399,183,1.06E-05,7.00E-06,25,0.686,0.262,0.424
0.14,0.072,0.88,272,57,158,101,163,250,174,4.60E-06,4.00E-06,29,0.686,0.262,0.424
0.34,0.041,0.89,271,97,144,174,158,354,182,1.14E-05,1.00E-05,18,0.685,0.305,0.38
0.19,0.01,0.94,279,91,192,185,108,385,159,2.60E-06,5.00E-06,25,0.685,0.305,0.38
0.28,0.062,0.83,251,36,142,105,132,377,190,9.68E-06,4.00E-06,19,0.682,0.267,0.415
0.32,0.091,0.84,468,10,153,189,103,351,171,2.85E-06,3.00E-06,26,0.681,0.37,0.311
0.32,0.051,0.9,547,56,126,195,153,381,197,5.88E-06,3.00E-06,20,0.677,0.312,0.365
0.33,0.076,0.84,199,99,167,137,111,351,200,1.02E-05,4.00E-06,29,0.675,0.312,0.363
0.3,0.045,0.8,365,55,156,63,146,285,156,1.67E-05,9.00E-06,18,0.674,0.261,0.413
0.39,0.041,0.89,725,59,167,138,127,367,179,3.55E-06,5.00E-06,15,0.665,0.264,0.401
0.32,0.062,0.83,815,10,155,111,129,395,183,2.13E-06,1.00E-06,24,0.663,0.26,0.403
0.33,0.052,0.86,872,34,178,157,178,372,187,4.08E-06,4.00E-06,27,0.662,0.298,0.364
0.12,0.012,0.95,239,33,175,186,175,322,190,6.93E-06,9.00E-06,17,0.661,0.264,0.397
0.23,0.099,0.85,94,84,194,56,198,291,199,1.86E-05,8.00E-06,13,0.656,0.393,0.263
0.1,0.011,0.93,330,56,133,89,197,250,150,2.04E-05,7.00E-06,12,0.655,0.234,0.421
0.1,0.078,1,250,2.31,115,50,140,200,150,5.00E-06,5.00E-06,10,0.654,0.259,0.395
0.34,0.069,0.81,463,86,132,128,154,398,191,2.68E-06,1.00E-06,14,0.651,0.276,0.375
0.32,0.059,0.95,966,58,184,96,196,252,165,1.37E-05,5.00E-06,25,0.65,0.251,0.399
0.19,0.051,0.94,385,81,119,125,144,380,179,8.16E-06,6.00E-06,19,0.646,0.259,0.387
0.31,0.035,0.94,979,10,168,85,167,201,153,5.49E-06,3.00E-06,13,0.644,0.266,0.378
0.16,0.094,0.99,564,18,207,139,192,358,197,8.97E-06,3.00E-06,14,0.643,0.288,0.355
0.3,0.087,0.99,655,76,196,196,120,350,195,1.72E-06,1.00E-06,24,0.642,0.3,0.342
0.19,0.012,0.98,927,85,193,131,119,392,198,6.44E-06,4.00E-06,17,0.641,0.257,0.384
0.16,0.013,0.94,846,85,164,147,108,371,176,2.34E-06,6.00E-06,29,0.64,0.287,0.353
0.19,0.084,0.94,436,45,177,157,198,395,163,2.52E-06,6.00E-06,18,0.636,0.258,0.378
