SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,SD,f1,f2,g
0.23,0.055,0.92,867,28,147,148,166,372,179,2.67E-06,1.00E-06,21,0.24,0.321,-0.081
0.16,0.026,0.98,704,86,146,102,111,372,194,9.40E-07,2.00E-06,27,0.236,0.271,-0.035
0.28,0.032,0.86,806,74,141,102,101,393,180,1.77E-05,8.00E-06,28,0.235,0.219,0.016
0.28,0.011,0.97,262,99,192,134,195,281,191,7.71E-06,3.00E-06,26,0.234,0.322,-0.088
0.29,0.028,0.81,529,53,221,61,198,232,175,2.01E-05,8.00E-06,14,0.232,0.23,0.002
0.37,0.091,0.96,984,50,186,113,174,356,155,1.24E-05,5.00E-06,13,0.23,0.253,-0.023
0.12,0.094,0.88,737,43,135,85,195,287,177,2.32E-05,9.00E-06,27,0.23,0.347,-0.117
0.37,0.052,0.83,858,7,179,174,145,243,180,2.91E-06,3.00E-06,13,0.23,0.33,-0.1
0.36,0.065,0.94,371,58,174,135,111,270,159,8.91E-06,9.00E-06,11,0.228,0.405,-0.177
0.11,0.075,0.9,467,65,120,101,188,317,186,1.98E-05,8.00E-06,23,0.228,0.229,-0.001
0.26,0.014,0.87,870,42,180,153,181,366,171,4.55E-06,7.00E-06,28,0.228,0.309,-0.081
0.17,0.068,0.82,113,98,191,135,196,311,176,9.88E-06,4.00E-06,30,0.227,0.295,-0.068
0.15,0.059,0.87,79,42,208,158,189,310,189,6.80E-06,1.00E-05,22,0.224,0.313,-0.089
0.36,0.022,0.92,532,18,124,137,185,349,161,4.40E-07,1.00E-06,29,0.222,0.261,-0.039
0.33,0.049,0.91,776,97,197,134,140,360,176,9.60E-06,6.00E-06,28,0.222,0.271,-0.049
0.37,0.087,0.8,292,45,160,125,155,274,178,4.34E-06,2.00E-06,21,0.22,0.217,0.003
0.36,0.022,0.99,436,22,195,130,105,337,169,5.85E-06,3.00E-06,23,0.219,0.33,-0.111
0.18,0.073,0.81,372,75,218,152,166,352,167,2.25E-05,8.00E-06,17,0.216,0.309,-0.093
0.29,0.043,0.87,797,7,182,179,187,208,167,1.75E-05,7.00E-06,25,0.214,0.347,-0.133
0.2,0.056,0.81,982,86,217,102,190,264,198,4.68E-06,9.00E-06,19,0.213,0.263,-0.05
0.13,0.044,0.87,641,69,217,69,107,291,163,2.35E-06,5.00E-06,20,0.213,0.272,-0.059
0.25,0.091,0.81,318,19,128,166,163,259,199,6.28E-06,4.00E-06,20,0.213,0.31,-0.097
0.26,0.013,0.93,568,6,150,65,192,271,159,1.38E-05,7.00E-06,28,0.211,0.314,-0.103
0.34,0.024,0.97,509,11,137,168,140,323,172,1.13E-05,4.00E-06,22,0.209,0.218,-0.009
0.35,0.055,0.98,850,87,124,113,148,369,200,9.36E-06,9.00E-06,12,0.206,0.311,-0.105
0.13,0.078,0.85,845,82,169,153,127,297,171,5.28E-06,2.00E-06,23,0.202,0.285,-0.083
0.25,0.036,0.89,822,90,201,192,175,335,159,1.03E-05,6.00E-06,22,0.202,0.278,-0.076
0.22,0.036,0.91,931,95,154,58,127,379,164,8.88E-06,8.00E-06,25,0.199,0.243,-0.044
0.15,0.064,0.87,505,99,202,181,173,223,165,1.28E-05,5.00E-06,11,0.198,0.309,-0.111
0.16,0.087,0.95,210,21,178,102,192,327,169,8.55E-06,9.00E-06,10,0.197,0.304,-0.107
0.35,0.053,0.99,244,87,184,56,108,309,183,9.68E-06,4.00E-06,21,0.197,0.216,-0.019
0.36,0.085,0.88,150,93,156,182,172,278,179,4.40E-06,5.00E-06,21,0.196,0.246,-0.05
0.34,0.039,0.98,295,78,119,86,198,360,181,6.90E-06,3.00E-06,12,0.196,0.224,-0.028
0.31,0.084,0.9,69,39,194,139,117,314,166,1.04E-05,4.00E-06,22,0.194,0.365,-0.171
0.27,0.042,0.84,685,82,216,72,157,260,190,1.48E-05,7.00E-06,28,0.194,0.271,-0.077
0.24,0.071,0.96,621,94,204,142,130,231,197,1.97E-05,7.00E-06,17,0.194,0.272,-0.078
0.13,0.092,0.94,112,75,223,126,194,212,183,2.82E-06,2.00E-06,26,0.193,0.342,-0.149
0.33,0.087,0.93,829,69,117,103,145,218,152,1.15E-05,5.00E-06,11,0.192,0.343,-0.151
0.36,0.073,0.95,787,9,224,171,173,326,185,1.72E-06,1.00E-06,13,0.19,0.324,-0.134
0.21,0.084,0.92,229,81,216,170,146,277,173,2.54E-06,1.00E-06,26,0.189,0.331,-0.142
0.24,0.064,0.97,830,24,166,195,187,237,178,3.15E-06,9.00E-06,17,0.189,0.293,-0.104
0.23,0.051,0.84,799,12,187,145,141,216,194,1.25E-05,6.00E-06,22,0.187,0.196,-0.009
0.1,0.081,0.85,479,50,220,186,135,387,196,3.60E-07,1.00E-06,17,0.187,0.328,-0.141
0.22,0.047,0.87,435,78,225,116,128,337,190,9.00E-06,1.00E-05,17,0.187,0.316,-0.129
0.23,0.094,0.88,308,78,119,127,131,312,181,6.32E-06,8.00E-06,25,0.186,0.267,-0.081
0.2,0.023,0.84,664,56,141,121,146,217,171,9.20E-06,8.00E-06,21,0.186,0.337,-0.151
0.37,0.028,0.83,56,39,129,80,147,214,165,4.76E-06,7.00E-06,16,0.185,0.306,-0.121
0.38,0.021,0.92,697,29,145,88,109,291,172,4.68E-06,2.00E-06,21,0.185,0.34,-0.155
0.31,0.04,0.89,120,84,125,115,173,310,151,2.28E-05,9.00E-06,28,0.184,0.411,-0.227
0.11,0.022,0.95,464,11,215,126,136,215,187,1.82E-05,1.00E-05,27,0.184,0.272,-0.088
0.12,0.04,0.92,677,13,212,116,153,269,196,8.92E-06,4.00E-06,27,0.184,0.309,-0.125
0.27,0.094,0.92,82,14,222,128,155,327,196,1.30E-05,7.00E-06,23,0.184,0.212,-0.028
0.17,0.035,0.9,393,98,133,68,166,305,177,7.42E-06,7.00E-06,22,0.181,0.331,-0.15
0.37,0.062,0.89,489,34,221,112,178,235,192,2.12E-06,2.00E-06,14,0.179,0.376,-0.197
0.13,0.017,0.88,48,34,143,133,189,228,156,1.74E-05,7.00E-06,19,0.178,0.219,-0.041
0.11,0.099,0.98,290,53,221,138,191,309,183,1.49E-05,5.00E-06,25,0.177,0.198,-0.021
0.25,0.091,0.98,86,37,221,131,141,292,186,4.56E-06,2.00E-06,23,0.176,0.195,-0.019
0.25,0.096,0.88,597,52,192,76,136,305,193,1.07E-05,9.00E-06,17,0.175,0.36,-0.185
0.34,0.014,1,832,37,199,185,165,294,181,5.00E-06,5.00E-06,12,0.171,0.374,-0.203
0.29,0.01,0.92,786,67,202,173,152,296,151,7.60E-06,4.00E-06,19,0.171,0.305,-0.134
0.3,0.073,0.82,114,25,127,172,126,395,199,1.18E-05,6.00E-06,12,0.17,0.193,-0.023
0.19,0.048,0.98,212,63,211,149,132,201,179,4.78E-06,2.00E-06,11,0.169,0.327,-0.158
0.18,0.089,0.92,263,70,169,82,160,203,182,1.80E-05,8.00E-06,12,0.169,0.158,0.011
0.29,0.07,0.98,654,73,142,78,102,373,167,2.48E-05,9.00E-06,20,0.167,0.355,-0.188
0.27,0.084,0.95,500,18,138,90,101,375,157,7.60E-07,2.00E-06,22,0.166,0.279,-0.113
0.16,0.073,0.98,223,32,138,117,137,298,168,8.49E-06,3.00E-06,15,0.166,0.196,-0.03
0.35,0.098,0.94,891,90,212,74,175,243,180,1.36E-05,5.00E-06,16,0.165,0.301,-0.136
0.3,0.021,0.94,17,9,199,164,158,359,174,2.94E-06,6.00E-06,19,0.164,0.377,-0.213
0.34,0.058,0.89,208,22,195,133,122,251,182,8.10E-06,1.00E-05,18,0.163,0.193,-0.03
0.13,0.039,0.96,831,9,140,145,102,332,178,1.32E-05,8.00E-06,26,0.161,0.338,-0.177
0.17,0.024,0.94,976,65,181,107,151,353,151,2.99E-05,1.00E-05,16,0.161,0.284,-0.123
0.3,0.018,0.86,745,40,162,140,112,229,152,2.92E-06,4.00E-06,18,0.161,0.343,-0.182
0.25,0.076,0.99,590,75,172,86,138,248,173,5.70E-06,3.00E-06,27,0.16,0.331,-0.171
0.28,0.022,0.92,566,53,165,95,197,339,197,1.58E-05,8.00E-06,28,0.16,0.383,-0.223
0.35,0.038,0.84,541,55,118,160,187,209,200,5.90E-06,2.00E-06,16,0.159,0.218,-0.059
0.35,0.06,0.85,773,8,206,76,168,290,192,1.12E-05,1.00E-05,29,0.157,0.369,-0.212
0.25,0.082,0.87,44,19,147,165,153,224,156,7.53E-06,3.00E-06,11,0.153,0.245,-0.092
0.17,0.059,0.95,234,60,160,127,111,294,164,2.16E-06,2.00E-06,26,0.15,0.332,-0.182
0.26,0.087,0.99,822,43,218,181,157,335,188,8.16E-06,3.00E-06,21,0.149,0.248,-0.099
0.39,0.015,0.9,430,38,177,148,137,307,193,4.68E-06,4.00E-06,17,0.149,0.312,-0.163
0.37,0.043,0.8,585,69,216,124,127,297,179,9.31E-06,7.00E-06,27,0.147,0.229,-0.082
0.32,0.058,0.86,727,81,131,151,174,359,196,1.81E-05,8.00E-06,23,0.147,0.312,-0.165
0.27,0.014,0.97,982,69,171,197,180,289,187,6.36E-06,3.00E-06,21,0.142,0.362,-0.22
0.19,0.044,0.94,516,76,204,67,120,296,182,6.81E-06,3.00E-06,25,0.139,0.306,-0.167
0.24,0.032,0.84,32,10,148,183,105,260,155,1.03E-05,9.00E-06,30,0.138,0.246,-0.108
0.3,0.073,0.9,682,98,157,175,197,203,186,5.68E-06,2.00E-06,18,0.138,0.326,-0.188
0.2,0.091,0.91,270,86,191,104,134,308,178,4.52E-06,2.00E-06,19,0.137,0.419,-0.282
0.13,0.047,0.81,221,99,167,92,152,210,192,6.04E-06,4.00E-06,28,0.137,0.352,-0.215
0.21,0.036,0.92,966,72,180,156,159,215,188,5.52E-06,4.00E-06,10,0.137,0.228,-0.091
0.11,0.044,0.83,118,63,197,145,198,308,182,2.38E-05,9.00E-06,13,0.13,0.347,-0.217
0.13,0.057,0.83,705,24,122,68,173,268,186,1.69E-05,6.00E-06,15,0.127,0.288,-0.161
0.36,0.059,0.95,571,55,213,71,183,215,165,3.10E-06,5.00E-06,20,0.127,0.23,-0.103
0.31,0.063,0.81,472,98,166,108,154,322,199,6.55E-06,5.00E-06,25,0.127,0.246,-0.119
0.19,0.07,0.88,207,9,221,84,166,241,168,4.88E-06,8.00E-06,15,0.126,0.31,-0.184
0.36,0.044,0.8,948,67,212,54,104,260,153,3.42E-06,6.00E-06,18,0.125,0.253,-0.128
0.28,0.012,0.98,617,73,163,179,169,275,192,1.36E-05,5.00E-06,16,0.124,0.256,-0.132
0.14,0.079,0.82,726,74,215,103,181,215,168,6.84E-06,9.00E-06,28,0.124,0.367,-0.243
0.28,0.035,0.81,202,34,128,130,134,267,190,7.70E-06,7.00E-06,18,0.124,0.251,-0.127
0.38,0.073,0.88,239,91,179,116,147,260,185,7.95E-06,5.00E-06,29,0.124,0.251,-0.127
0.15,0.098,0.81,23,25,195,125,188,266,157,5.70E-06,5.00E-06,17,0.123,0.327,-0.204
0.26,0.043,0.9,386,42,124,55,154,398,156,2.38E-06,7.00E-06,18,0.123,0.217,-0.094
0.26,0.077,0.81,824,51,153,194,109,386,159,1.36E-05,5.00E-06,26,0.121,0.256,-0.135
0.12,0.024,0.95,193,46,222,149,198,224,166,7.14E-06,7.00E-06,28,0.119,0.258,-0.139
0.38,0.06,0.92,934,16,153,50,122,243,181,3.33E-06,9.00E-06,12,0.117,0.385,-0.268
0.21,0.048,0.99,435,23,148,147,198,202,165,8.40E-07,2.00E-06,22,0.117,0.216,-0.099
0.18,0.024,0.99,753,72,187,187,140,244,197,6.56E-06,4.00E-06,29,0.115,0.419,-0.304
0.35,0.023,0.89,54,58,121,192,151,233,154,1.34E-05,5.00E-06,18,0.114,0.308,-0.194
0.33,0.042,0.8,834,98,182,139,190,266,158,3.01E-06,7.00E-06,23,0.113,0.354,-0.241
0.25,0.043,0.94,179,51,175,58,196,256,173,4.25E-06,5.00E-06,28,0.112,0.295,-0.183
0.23,0.017,0.94,468,60,170,140,157,351,183,5.74E-06,2.00E-06,11,0.107,0.374,-0.267
0.22,0.094,0.9,247,67,181,68,119,263,151,2.35E-06,1.00E-06,28,0.104,0.359,-0.255
0.15,0.096,0.89,730,60,149,134,174,307,153,7.85E-06,5.00E-06,25,0.104,0.348,-0.244
0.28,0.083,0.86,799,60,129,198,143,210,159,1.49E-05,6.00E-06,15,0.103,0.258,-0.155
0.23,0.055,0.83,572,4,179,181,183,273,170,7.90E-07,1.00E-06,16,0.103,0.411,-0.308
0.12,0.071,0.87,358,3,132,193,125,202,178,1.97E-05,7.00E-06,14,0.101,0.259,-0.158
0.14,0.09,0.91,133,66,209,77,184,390,177,1.70E-05,6.00E-06,14,0.1,0.325,-0.225
0.32,0.076,0.85,96,84,155,104,172,235,175,2.40E-06,5.00E-06,19,0.098,0.344,-0.246
0.12,0.033,0.88,535,58,191,66,167,217,198,4.80E-06,4.00E-06,27,0.097,0.318,-0.221
0.25,0.059,0.92,27,33,185,81,126,306,199,2.83E-05,1.00E-05,26,0.093,0.233,-0.14
0.32,0.079,0.94,956,82,211,194,146,384,199,2.07E-06,3.00E-06,18,0.093,0.21,-0.117
0.22,0.088,0.94,625,36,131,121,100,293,191,1.52E-06,2.00E-06,20,0.091,0.259,-0.168
0.33,0.037,0.86,250,93,189,156,181,333,155,9.78E-06,6.00E-06,14,0.086,0.188,-0.102
0.4,0.061,0.91,974,7,168,121,193,311,151,4.47E-06,3.00E-06,11,0.086,0.274,-0.188
0.1,0.066,0.95,191,88,154,139,195,373,174,3.48E-06,6.00E-06,16,0.08,0.27,-0.19
0.11,0.023,0.92,75,83,174,125,191,233,178,1.43E-05,8.00E-06,18,0.074,0.37,-0.296
0.18,0.042,0.97,881,96,199,116,154,296,158,8.91E-06,9.00E-06,19,0.073,0.364,-0.291
0.19,0.088,0.96,19,62,178,94,130,321,169,1.86E-05,1.00E-05,13,0.073,0.352,-0.279
0.26,0.093,0.95,862,67,178,97,119,311,189,3.70E-06,2.00E-06,26,0.072,0.216,-0.144
0.14,0.084,0.91,987,9,173,126,133,334,173,1.90E-05,8.00E-06,17,0.062,0.338,-0.276
0.24,0.061,0.82,310,96,213,65,168,276,183,1.11E-05,8.00E-06,24,0.061,0.408,-0.347
0.4,0.019,0.98,745,27,195,64,175,227,189,1.47E-06,1.00E-06,15,0.059,0.29,-0.231
0.22,0.051,0.97,692,14,178,150,159,319,161,1.48E-06,4.00E-06,22,0.058,0.216,-0.158
0.14,0.096,0.84,409,83,133,58,174,232,165,2.60E-05,9.00E-06,26,0.041,0.39,-0.349
0.26,0.082,0.87,492,31,175,91,136,269,174,7.98E-06,3.00E-06,30,0.04,0.327,-0.287
0.25,0.056,0.85,992,11,149,57,176,392,187,1.41E-05,8.00E-06,14,0.038,0.24,-0.202
0.19,0.031,0.98,221,7,124,148,139,370,173,8.25E-06,3.00E-06,16,0.036,0.33,-0.294
