SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,FP,f1,f2,g
0.16,0.049,0.93,326,80,332,116,150,455,314,4.71E-06,3.00E-06,0.5,0.342,0.43,-0.088
0.39,0.035,0.81,118,96,253,90,147,664,392,2.04E-05,9.00E-06,0,0.441,0.43,0.011
0.38,0.057,0.92,122,72,199,167,223,653,320,8.37E-06,3.00E-06,1,0.388,0.43,-0.042
0.36,0.046,0.93,598,66,167,151,212,692,226,9.52E-06,8.00E-06,1,0.424,0.43,-0.006
0.28,0.069,0.98,769,36,182,131,207,608,240,6.75E-06,3.00E-06,0.5,0.416,0.429,-0.013
0.19,0.04,0.86,655,47,164,183,136,478,374,1.11E-05,7.00E-06,0,0.301,0.429,-0.128
0.37,0.035,0.91,986,47,368,164,141,612,388,1.90E-05,7.00E-06,0.5,0.369,0.428,-0.059
0.26,0.045,0.85,891,37,358,191,199,608,234,8.20E-06,4.00E-06,0.5,0.383,0.428,-0.045
0.17,0.081,0.9,660,54,426,73,148,400,318,5.52E-06,3.00E-06,0,0.502,0.428,0.074
0.27,0.092,0.97,85,63,358,149,125,676,210,2.10E-05,8.00E-06,0,0.409,0.427,-0.018
0.38,0.072,0.97,706,54,395,167,242,702,316,1.06E-05,5.00E-06,0.5,0.375,0.427,-0.052
0.37,0.034,0.89,518,43,300,96,149,633,310,1.26E-05,5.00E-06,1,0.371,0.427,-0.056
0.18,0.094,0.82,116,20,163,69,123,473,322,6.60E-06,6.00E-06,1,0.475,0.427,0.048
0.31,0.068,0.81,140,73,423,137,228,644,302,1.02E-05,6.00E-06,0.5,0.413,0.427,-0.014
0.27,0.056,0.85,844,39,322,164,226,632,370,7.28E-06,4.00E-06,1,0.39,0.427,-0.037
0.22,0.033,0.98,766,90,207,133,134,674,242,2.56E-05,1.00E-05,0,0.451,0.426,0.025
0.32,0.026,0.95,873,95,397,138,176,360,220,4.06E-06,2.00E-06,1,0.342,0.426,-0.084
0.14,0.013,0.81,822,66,339,162,156,612,324,8.08E-06,4.00E-06,0.5,0.368,0.425,-0.057
0.36,0.041,0.81,791,56,209,190,227,608,324,9.54E-06,9.00E-06,0.5,0.43,0.425,0.005
0.11,0.05,0.85,479,26,420,183,109,427,374,5.58E-06,9.00E-06,0,0.318,0.425,-0.107
0.18,0.095,0.85,262,92,220,95,196,516,372,2.89E-06,1.00E-06,0,0.382,0.424,-0.042
0.11,0.058,0.91,285,78,254,159,227,374,386,3.06E-06,6.00E-06,0,0.31,0.424,-0.114
0.34,0.039,0.96,998,23,406,162,109,635,262,1.55E-05,6.00E-06,0.5,0.333,0.424,-0.091
0.17,0.069,0.83,876,66,344,164,103,561,204,1.77E-05,6.00E-06,0.5,0.271,0.424,-0.153
0.16,0.042,0.9,562,76,301,95,178,685,368,1.58E-05,8.00E-06,0,0.45,0.423,0.027
0.22,0.047,0.87,397,45,156,132,103,682,294,1.34E-05,8.00E-06,0.5,0.426,0.422,0.004
0.23,0.026,0.86,622,98,393,172,196,633,328,1.94E-05,9.00E-06,1,0.413,0.422,-0.009
0.13,0.027,0.93,146,93,254,155,153,523,378,5.56E-06,4.00E-06,0,0.317,0.421,-0.104
0.31,0.04,0.96,99,81,333,91,155,512,266,5.32E-06,4.00E-06,0,0.356,0.421,-0.065
0.32,0.041,0.88,366,90,192,123,113,394,270,1.39E-05,6.00E-06,0,0.288,0.421,-0.133
0.28,0.072,0.97,643,73,291,158,169,649,374,1.82E-05,7.00E-06,0.5,0.401,0.421,-0.02
0.24,0.055,0.8,827,95,359,107,206,521,310,5.10E-06,5.00E-06,0,0.347,0.421,-0.074
0.17,0.04,0.93,407,24,293,112,219,669,338,6.69E-06,3.00E-06,0.5,0.456,0.421,0.035
0.39,0.029,0.99,407,75,395,175,165,535,348,7.74E-06,6.00E-06,0.5,0.272,0.421,-0.149
0.11,0.07,0.84,199,94,363,147,207,535,268,4.96E-06,2.00E-06,0,0.326,0.421,-0.095
0.19,0.042,0.94,743,15,293,152,132,645,248,2.28E-05,8.00E-06,1,0.403,0.42,-0.017
0.33,0.044,0.82,533,44,395,109,172,512,252,2.10E-06,2.00E-06,0,0.349,0.42,-0.071
0.39,0.095,0.92,440,84,170,169,206,620,340,1.86E-05,7.00E-06,1,0.383,0.42,-0.037
0.36,0.061,0.96,695,85,235,198,232,586,232,6.80E-07,1.00E-06,0,0.337,0.42,-0.083
0.21,0.041,0.92,858,90,284,175,163,666,262,1.48E-05,7.00E-06,0.5,0.39,0.42,-0.03
0.17,0.028,0.93,212,81,312,181,195,490,248,6.68E-06,4.00E-06,1,0.299,0.419,-0.12
0.14,0.071,0.84,822,24,156,156,133,400,358,1.13E-05,6.00E-06,0.5,0.253,0.419,-0.166
0.14,0.037,0.99,316,50,418,143,151,491,216,8.19E-06,3.00E-06,0,0.323,0.419,-0.096
0.25,0.011,0.9,726,45,225,94,111,515,328,1.45E-05,6.00E-06,0,0.314,0.419,-0.105
0.21,0.015,0.89,534,63,166,123,167,521,226,6.80E-07,1.00E-06,1,0.347,0.418,-0.071
0.16,0.055,0.87,365,95,222,75,163,581,204,5.60E-06,4.00E-06,1,0.376,0.418,-0.042
