SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,FP,f1,f2,g
0.28,0.024,0.96,380,99,324,107,260,699,278,1.13E-05,4.00E-06,0,0.583,0.391,0.192
0.25,0.044,0.86,804,34,320,74,248,497,228,2.91E-06,3.00E-06,1,0.391,0.39,0.001
0.32,0.089,0.84,104,42,212,50,187,360,340,8.88E-06,6.00E-06,0.5,0.542,0.39,0.152
0.23,0.071,0.9,446,82,185,160,279,615,286,7.05E-06,3.00E-06,0,0.567,0.39,0.177
0.26,0.075,0.97,127,30,415,92,170,450,370,2.07E-06,3.00E-06,1,0.35,0.39,-0.04
0.18,0.033,0.85,830,42,267,176,215,411,354,1.22E-05,7.00E-06,1,0.326,0.39,-0.064
0.11,0.081,0.9,67,97,295,140,202,384,330,1.34E-05,8.00E-06,0.5,0.359,0.389,-0.03
0.39,0.083,0.92,463,34,382,91,115,320,340,6.50E-06,1.00E-05,0,0.292,0.389,-0.097
0.12,0.067,0.88,677,24,219,117,164,355,372,2.76E-06,3.00E-06,1,0.319,0.388,-0.069
0.23,0.064,0.91,535,42,326,147,229,400,394,1.57E-05,9.00E-06,0.5,0.39,0.388,0.002
0.24,0.086,0.8,512,77,221,67,263,637,204,2.04E-06,4.00E-06,0,0.621,0.387,0.234
0.35,0.092,0.95,353,9,264,151,126,465,310,2.67E-06,1.00E-06,0,0.236,0.387,-0.151
0.18,0.065,0.98,854,91,156,59,265,641,340,9.76E-06,8.00E-06,0,0.656,0.386,0.27
0.11,0.055,0.88,938,26,185,51,242,526,218,2.88E-06,4.00E-06,1,0.532,0.385,0.147
0.12,0.093,0.91,116,80,235,188,247,419,226,2.17E-05,8.00E-06,0,0.365,0.385,-0.02
0.39,0.04,0.97,440,86,301,134,300,616,226,1.00E-05,7.00E-06,0.5,0.585,0.384,0.201
0.34,0.071,0.86,584,31,263,87,175,371,246,9.45E-06,7.00E-06,0.5,0.333,0.384,-0.051
0.31,0.031,0.97,431,49,319,73,164,422,200,1.25E-05,5.00E-06,0,0.531,0.383,0.148
0.34,0.077,0.92,982,56,312,168,268,685,258,5.45E-06,5.00E-06,0,0.551,0.382,0.169
0.32,0.063,0.82,876,10,239,69,127,496,220,3.42E-06,3.00E-06,0.5,0.453,0.381,0.072
0.38,0.073,0.97,858,69,226,121,233,591,268,2.55E-05,9.00E-06,1,0.402,0.38,0.022
0.16,0.019,0.96,245,39,198,171,241,593,326,1.53E-05,8.00E-06,0,0.357,0.38,-0.023
0.36,0.022,0.99,762,29,153,69,174,488,202,9.52E-06,7.00E-06,0,0.509,0.38,0.129
0.3,0.049,0.96,509,51,397,120,262,676,228,7.14E-06,6.00E-06,0.5,0.593,0.38,0.213
0.25,0.028,0.99,209,80,208,99,297,639,330,1.03E-05,8.00E-06,0,0.656,0.38,0.276
0.32,0.031,0.98,307,21,260,74,224,586,222,1.66E-05,6.00E-06,0,0.385,0.379,0.006
0.2,0.021,0.88,451,26,415,125,211,519,272,1.11E-05,8.00E-06,0.5,0.396,0.378,0.018
0.27,0.042,0.9,676,20,206,190,244,463,332,1.24E-05,6.00E-06,0,0.323,0.378,-0.055
0.32,0.03,0.96,645,93,186,57,131,332,262,8.91E-06,3.00E-06,0.5,0.45,0.378,0.072
0.2,0.043,0.92,230,79,438,75,254,658,260,1.27E-05,7.00E-06,0,0.616,0.378,0.238
0.15,0.043,0.87,615,23,186,185,178,405,220,1.11E-05,5.00E-06,0.5,0.307,0.377,-0.07
0.35,0.01,0.89,691,84,317,106,274,431,218,5.66E-06,2.00E-06,0.5,0.547,0.377,0.17
0.12,0.015,0.89,887,96,281,156,251,449,396,2.84E-06,1.00E-06,0,0.51,0.376,0.134
0.21,0.086,0.82,223,28,241,93,166,542,356,1.21E-05,6.00E-06,0.5,0.352,0.376,-0.024
0.33,0.033,0.98,515,45,305,82,280,702,316,6.50E-06,5.00E-06,1,0.608,0.376,0.232
0.29,0.073,0.9,524,18,248,92,153,513,392,1.54E-05,8.00E-06,0.5,0.372,0.375,-0.003
0.33,0.036,0.99,852,75,351,187,261,515,388,3.35E-06,5.00E-06,0,0.52,0.375,0.145
0.17,0.012,0.85,465,20,304,98,168,371,212,1.37E-05,6.00E-06,1,0.312,0.374,-0.062
0.36,0.06,0.83,603,64,442,112,266,466,226,3.32E-06,2.00E-06,0,0.544,0.373,0.171
0.22,0.091,0.98,160,34,180,66,242,523,310,1.23E-05,7.00E-06,0.5,0.539,0.373,0.166
0.21,0.046,1,373,55,168,134,202,309,314,3.50E-06,5.00E-06,0,0.311,0.372,-0.061
0.28,0.036,0.95,701,72,434,80,277,431,394,6.84E-06,4.00E-06,0,0.592,0.372,0.22
0.23,0.063,0.88,352,68,368,181,256,450,344,3.90E-06,2.00E-06,0.5,0.487,0.372,0.115
0.19,0.058,0.92,639,50,236,176,148,338,308,1.77E-05,7.00E-06,1,0.245,0.37,-0.125
0.37,0.064,0.94,184,57,328,149,189,311,362,6.15E-06,3.00E-06,0.5,0.273,0.37,-0.097
0.12,0.016,0.97,858,15,442,132,171,582,304,1.26E-05,6.00E-06,0,0.343,0.37,-0.027
0.13,0.043,0.96,400,93,247,74,271,430,368,1.77E-06,3.00E-06,0,0.581,0.37,0.211
0.19,0.077,0.83,583,28,358,103,210,432,388,2.44E-05,1.00E-05,0.5,0.378,0.37,0.008
0.29,0.092,0.86,724,96,165,196,195,339,370,2.98E-06,2.00E-06,0,0.297,0.37,-0.073
0.28,0.067,0.83,67,5,188,198,122,676,252,8.80E-06,1.00E-05,1,0.372,0.37,0.002
0.37,0.061,0.8,636,89,241,157,181,310,292,3.06E-06,2.00E-06,0,0.273,0.369,-0.096
0.31,0.034,0.82,437,56,296,107,202,305,310,5.52E-06,3.00E-06,1,0.304,0.369,-0.065
0.11,0.085,0.89,170,73,331,90,297,664,210,5.14E-06,2.00E-06,0.5,0.607,0.368,0.239
0.15,0.017,0.93,820,30,253,54,138,306,312,4.90E-06,2.00E-06,0.5,0.436,0.368,0.068
0.12,0.015,0.86,541,93,361,164,107,328,280,1.36E-05,5.00E-06,0.5,0.241,0.368,-0.127
0.22,0.087,0.86,842,67,356,200,300,673,400,1.67E-05,7.00E-06,0.5,0.558,0.367,0.191
0.29,0.059,0.99,251,51,402,193,256,638,254,1.41E-05,7.00E-06,0,0.565,0.367,0.198
0.3,0.012,0.86,97,84,331,123,289,380,254,2.08E-06,2.00E-06,0,0.533,0.366,0.167
0.24,0.046,0.95,555,8,175,186,130,456,224,8.44E-06,4.00E-06,1,0.238,0.366,-0.128
0.15,0.034,0.98,883,64,305,90,232,306,288,6.24E-06,4.00E-06,0,0.354,0.366,-0.012
0.27,0.041,0.86,749,83,256,185,296,421,318,5.94E-06,6.00E-06,0,0.508,0.365,0.143
0.22,0.013,0.99,386,2,287,103,144,661,352,8.80E-06,5.00E-06,0,0.296,0.365,-0.069
0.13,0.034,0.98,548,74,170,185,275,430,296,4.92E-06,6.00E-06,0.5,0.515,0.365,0.15
0.38,0.088,0.84,828,40,240,199,291,687,332,8.12E-06,4.00E-06,0,0.543,0.364,0.179
0.34,0.088,0.96,740,80,392,147,258,378,280,6.00E-06,3.00E-06,0.5,0.512,0.364,0.148
0.21,0.066,0.98,150,64,233,83,289,579,306,1.34E-06,1.00E-06,0,0.568,0.364,0.204
0.23,0.075,0.94,936,62,336,134,236,351,302,9.28E-06,8.00E-06,0.5,0.383,0.363,0.02
0.22,0.034,0.88,644,13,209,185,187,646,360,3.48E-06,2.00E-06,0.5,0.35,0.363,-0.013
0.1,0.031,0.89,270,96,342,171,287,566,302,1.06E-06,2.00E-06,0.5,0.531,0.361,0.17
0.14,0.067,0.85,692,78,169,55,264,468,202,5.40E-06,2.00E-06,0.5,0.631,0.36,0.271
0.29,0.079,0.86,888,8,355,191,146,455,276,7.72E-06,4.00E-06,0.5,0.242,0.36,-0.118
0.38,0.058,0.85,132,14,187,70,182,676,330,2.92E-06,4.00E-06,1,0.531,0.359,0.172
0.2,0.071,0.96,175,76,292,121,264,421,376,9.60E-06,1.00E-05,0.5,0.608,0.359,0.249
0.21,0.053,0.89,360,96,269,150,266,355,230,6.32E-06,8.00E-06,0.5,0.571,0.359,0.212
0.39,0.076,0.82,243,55,449,181,269,539,254,6.75E-06,5.00E-06,0.5,0.485,0.359,0.126
0.32,0.028,0.89,749,73,290,94,294,600,242,7.20E-07,1.00E-06,0.5,0.561,0.358,0.203
0.29,0.06,0.92,111,9,156,99,203,669,278,7.21E-06,7.00E-06,0,0.401,0.358,0.043
0.28,0.043,0.91,961,41,411,166,276,320,242,3.50E-06,2.00E-06,0,0.49,0.357,0.133
0.17,0.082,0.99,608,54,319,183,187,308,304,8.20E-06,1.00E-05,0,0.314,0.357,-0.043
0.28,0.031,0.86,136,76,431,56,163,318,212,1.03E-05,6.00E-06,0,0.481,0.356,0.125
0.2,0.087,0.84,613,45,227,67,275,638,236,1.24E-05,8.00E-06,1,0.653,0.356,0.297
0.34,0.067,0.83,120,79,213,57,273,450,372,1.19E-05,4.00E-06,0.5,0.624,0.356,0.268
0.24,0.04,0.87,721,70,178,162,250,331,342,3.75E-06,5.00E-06,0,0.49,0.355,0.135
0.22,0.098,0.96,435,92,417,123,276,587,282,1.06E-05,5.00E-06,0,0.575,0.355,0.22
0.35,0.091,0.85,157,36,392,73,258,369,360,6.30E-06,9.00E-06,0,0.615,0.355,0.26
0.14,0.046,0.89,226,83,268,157,293,600,232,3.82E-06,2.00E-06,0.5,0.514,0.355,0.159
0.35,0.048,0.8,79,73,239,99,271,400,300,1.49E-05,9.00E-06,0,0.598,0.354,0.244
0.23,0.047,0.95,959,43,370,106,283,519,218,1.88E-06,2.00E-06,0.5,0.546,0.354,0.192
0.34,0.064,0.82,225,47,286,199,296,353,360,6.70E-06,5.00E-06,1,0.523,0.352,0.171
0.21,0.074,0.83,914,43,329,75,265,343,214,6.30E-06,9.00E-06,0.5,0.58,0.351,0.229
0.31,0.097,0.82,135,65,364,72,293,598,232,6.75E-06,5.00E-06,0.5,0.606,0.351,0.255
0.1,0.013,0.98,267,62,244,75,218,316,322,1.23E-05,8.00E-06,0,0.347,0.351,-0.004
0.17,0.043,0.94,378,45,279,141,282,487,396,1.15E-05,5.00E-06,0,0.536,0.35,0.186
0.37,0.036,0.85,705,91,276,180,173,308,252,1.20E-05,5.00E-06,0,0.274,0.35,-0.076
0.14,0.019,0.95,95,13,233,134,219,557,374,5.34E-06,2.00E-06,0,0.298,0.349,-0.051
0.23,0.098,0.89,553,37,163,98,289,444,376,5.85E-06,3.00E-06,0,0.578,0.349,0.229
0.33,0.076,0.9,113,55,291,194,281,571,266,6.15E-06,3.00E-06,1,0.506,0.349,0.157
0.35,0.066,0.9,639,46,404,183,263,331,222,4.34E-06,7.00E-06,1,0.51,0.347,0.163
0.3,0.097,0.97,348,95,248,133,294,395,256,9.72E-06,6.00E-06,0.5,0.562,0.346,0.216
0.33,0.028,0.96,57,77,171,99,255,454,358,2.16E-05,1.00E-05,0.5,0.605,0.346,0.259
0.38,0.09,0.84,987,31,273,122,154,350,370,1.16E-05,4.00E-06,0,0.269,0.345,-0.076
0.36,0.084,0.91,80,41,309,52,289,416,222,6.78E-06,6.00E-06,1,0.6,0.345,0.255
0.1,0.052,0.84,663,65,284,139,201,322,208,1.43E-05,7.00E-06,0,0.322,0.345,-0.023
0.37,0.025,0.83,219,11,225,137,207,547,344,3.64E-06,2.00E-06,0.5,0.297,0.345,-0.048
0.37,0.014,0.83,175,6,329,102,234,597,260,6.69E-06,3.00E-06,0,0.342,0.344,-0.002
0.18,0.039,0.97,988,14,203,115,206,408,214,3.90E-06,6.00E-06,0,0.305,0.344,-0.039
0.16,0.029,0.85,166,10,177,91,125,565,368,1.72E-05,6.00E-06,0.5,0.23,0.343,-0.113
0.13,0.036,0.85,354,98,195,79,212,310,364,2.54E-05,9.00E-06,0.5,0.361,0.343,0.018
0.39,0.046,1,716,40,277,164,257,468,348,1.73E-05,8.00E-06,0,0.536,0.343,0.193
0.11,0.073,0.81,540,6,399,95,216,542,288,4.44E-06,2.00E-06,0.5,0.325,0.342,-0.017
0.17,0.057,0.88,787,38,347,164,264,514,326,1.72E-05,6.00E-06,0.5,0.506,0.342,0.164
0.23,0.038,0.87,451,12,212,199,173,435,260,6.60E-06,4.00E-06,0,0.278,0.342,-0.064
0.11,0.052,0.9,407,71,407,71,213,331,244,7.92E-06,6.00E-06,0.5,0.482,0.342,0.14
0.26,0.027,0.88,809,12,435,193,205,447,376,5.10E-06,6.00E-06,0,0.277,0.341,-0.064
0.35,0.088,0.96,204,80,254,87,298,376,330,1.03E-05,8.00E-06,0,0.6,0.341,0.259
0.16,0.012,0.92,58,8,449,108,194,529,390,5.96E-06,4.00E-06,0.5,0.298,0.341,-0.043
0.27,0.069,0.95,624,56,428,193,251,535,390,1.32E-05,6.00E-06,0,0.508,0.341,0.167
0.32,0.025,0.89,969,32,226,76,280,376,288,4.72E-06,2.00E-06,0.5,0.553,0.341,0.212
0.18,0.013,0.97,895,59,164,70,279,592,318,1.34E-05,5.00E-06,0.5,0.617,0.341,0.276
0.26,0.012,0.84,674,39,361,159,256,323,266,1.22E-06,2.00E-06,0.5,0.47,0.339,0.131
0.32,0.097,0.88,732,72,288,126,295,448,300,1.83E-05,7.00E-06,0,0.574,0.339,0.235
0.3,0.032,0.87,204,33,278,161,262,378,204,2.94E-06,3.00E-06,1,0.514,0.338,0.176
0.36,0.022,0.97,557,95,420,105,300,416,250,2.33E-05,8.00E-06,0,0.586,0.338,0.248
0.18,0.028,0.81,770,31,223,199,278,586,370,6.75E-06,9.00E-06,0,0.576,0.337,0.239
0.14,0.039,0.8,184,74,368,101,282,402,296,1.30E-05,8.00E-06,0.5,0.589,0.337,0.252
0.35,0.076,0.99,659,81,295,68,287,393,300,1.45E-05,8.00E-06,1,0.614,0.337,0.277
0.31,0.016,0.94,754,7,247,123,176,702,286,1.07E-05,8.00E-06,0.5,0.398,0.336,0.062
0.12,0.014,0.82,866,58,405,179,256,552,308,1.43E-05,5.00E-06,0,0.497,0.335,0.162
0.24,0.018,0.95,607,31,280,80,286,630,218,1.40E-05,6.00E-06,0,0.597,0.334,0.263
0.15,0.043,0.92,191,17,190,175,274,532,302,2.36E-06,4.00E-06,0,0.505,0.333,0.172
0.17,0.092,0.99,296,44,420,183,279,384,258,1.36E-05,5.00E-06,1,0.506,0.333,0.173
0.25,0.09,0.95,406,15,288,176,260,681,310,2.02E-05,9.00E-06,0.5,0.584,0.333,0.251
0.2,0.057,0.81,383,81,373,159,283,348,230,2.22E-05,9.00E-06,0.5,0.517,0.333,0.184
0.29,0.019,0.93,188,71,249,135,266,552,364,1.95E-05,8.00E-06,1,0.602,0.333,0.269
0.18,0.011,0.91,814,33,268,176,289,460,302,8.73E-06,3.00E-06,1,0.503,0.331,0.172
0.29,0.03,0.93,320,4,358,197,146,337,268,3.48E-06,6.00E-06,0,0.175,0.328,-0.153
0.38,0.094,0.85,102,41,230,125,254,337,360,1.21E-05,5.00E-06,0,0.532,0.326,0.206
0.14,0.088,0.98,656,46,259,165,268,380,304,1.66E-05,9.00E-06,0.5,0.555,0.326,0.229
0.31,0.05,0.96,868,32,394,140,296,327,280,4.08E-06,4.00E-06,0,0.502,0.325,0.177
0.23,0.055,0.85,926,7,399,99,256,696,310,1.94E-06,2.00E-06,0,0.567,0.325,0.242
0.35,0.02,0.86,189,12,185,187,249,452,286,7.59E-06,3.00E-06,0.5,0.293,0.325,-0.032
0.16,0.032,0.82,767,34,405,168,281,541,396,3.12E-06,6.00E-06,1,0.511,0.325,0.186
0.11,0.088,0.99,838,27,268,86,288,431,302,1.62E-06,1.00E-06,1,0.601,0.323,0.278
0.38,0.077,0.94,424,94,326,195,273,338,206,2.65E-05,1.00E-05,0.5,0.523,0.323,0.2
0.19,0.064,0.85,164,27,329,105,251,549,284,1.24E-05,6.00E-06,0,0.557,0.322,0.235
0.16,0.094,0.81,311,33,387,170,269,530,250,1.11E-05,5.00E-06,0.5,0.504,0.322,0.182
0.15,0.025,0.91,342,59,312,126,257,331,238,1.53E-05,7.00E-06,0.5,0.556,0.321,0.235
0.15,0.099,0.86,231,30,212,149,280,446,360,2.64E-06,2.00E-06,0,0.5,0.32,0.18
0.24,0.078,0.86,911,25,197,54,280,436,388,1.29E-06,1.00E-06,0.5,0.679,0.319,0.36
0.15,0.093,0.91,736,50,198,131,252,586,280,1.40E-05,9.00E-06,1,0.651,0.317,0.334
0.26,0.039,1,382,14,350,159,195,392,384,7.76E-06,4.00E-06,0.5,0.224,0.316,-0.092
0.37,0.07,0.86,147,12,336,116,133,327,256,1.57E-06,1.00E-06,0.5,0.201,0.314,-0.113
0.1,0.012,0.98,115,29,177,158,264,323,290,8.37E-06,3.00E-06,0,0.49,0.314,0.176
0.11,0.064,0.85,711,5,192,185,252,683,280,5.96E-06,4.00E-06,0.5,0.553,0.313,0.24
0.31,0.014,0.86,306,16,323,81,292,543,284,5.00E-06,5.00E-06,0.5,0.565,0.313,0.252
0.35,0.043,0.9,491,16,328,101,286,414,236,5.80E-06,5.00E-06,0.5,0.544,0.313,0.231
0.12,0.059,0.82,513,32,329,142,300,414,328,5.31E-06,9.00E-06,0,0.55,0.312,0.238
0.28,0.088,0.8,132,32,358,162,284,430,258,9.50E-06,5.00E-06,0,0.493,0.31,0.183
0.15,0.042,0.83,603,16,297,78,261,524,386,1.98E-05,7.00E-06,0.5,0.575,0.309,0.266
0.25,0.048,0.97,71,12,270,163,250,703,274,1.34E-05,6.00E-06,0.5,0.531,0.309,0.222
0.24,0.075,0.84,926,5,228,171,134,358,272,1.66E-05,9.00E-06,0,0.275,0.296,-0.021
0.16,0.097,0.86,80,23,214,115,282,314,396,2.67E-05,9.00E-06,0,0.572,0.295,0.277
0.21,0.097,0.99,704,18,181,182,299,364,386,1.29E-05,6.00E-06,0,0.501,0.294,0.207
0.34,0.041,0.84,417,3,282,58,107,341,378,1.76E-06,2.00E-06,0,0.386,0.294,0.092
0.37,0.019,0.81,483,13,414,191,299,354,224,6.00E-06,8.00E-06,0,0.526,0.285,0.241
0.29,0.076,0.83,945,13,304,169,282,450,308,3.60E-06,6.00E-06,1,0.488,0.276,0.212
0.2,0.023,0.83,258,13,337,175,153,472,228,1.69E-05,8.00E-06,0.5,0.305,0.269,0.036
0.18,0.065,0.88,667,12,308,150,244,547,348,1.83E-05,7.00E-06,0,0.326,0.267,0.059
0.16,0.071,0.93,337,5,220,91,292,552,256,6.95E-06,5.00E-06,0.5,0.578,0.266,0.312
0.25,0.041,0.99,674,13,434,144,183,362,368,2.08E-05,7.00E-06,0,0.276,0.266,0.01
0.31,0.07,0.84,577,10,406,107,285,458,362,8.56E-06,8.00E-06,0.5,0.588,0.245,0.343
0.14,0.044,0.85,462,5,328,105,211,350,240,1.19E-05,5.00E-06,0.5,0.227,0.244,-0.017
0.37,0.023,0.89,700,11,311,107,244,333,340,1.20E-05,5.00E-06,0,0.28,0.243,0.037
0.27,0.028,0.8,666,9,345,133,190,307,344,1.67E-05,9.00E-06,0.5,0.283,0.235,0.048
0.18,0.081,0.91,672,3,403,102,171,339,320,1.57E-05,9.00E-06,0.5,0.29,0.167,0.123
